Date,11KV Feeder [Census ],11KV Feeder [Bagco ],11KV Feeder [Kernel],11KV Feeder [Novelty],Total
1/1/2019,56.1,28.5,14.1,12,110.7
1/2/2019,28.8,14.4,12.1,14,69.3
1/3/2019,39.5,20.2,12.3,8.7,80.7
1/4/2019,41.5,20.6,15,16.1,93.2
1/5/2019,40.5,18.9,14.5,13.4,87.3
1/6/2019,40.5,19.3,12.8,3,75.6
1/7/2019,34.9,18.1,13,14.5,80.5
1/8/2019,38.2,20.1,14.6,28.9,101.8
1/9/2019,34.4,21.7,13,24.7,93.8
1/10/2019,44.4,25.2,15,24.9,109.5
1/11/2019,42.4,24.8,14.1,21.4,102.7
1/12/2019,34.5,28.7,12.6,20.9,96.7
1/13/2019,31.8,18.9,10.4,8.5,69.6
1/14/2019,37.2,20.2,15.6,19.3,92.3
1/15/2019,40.4,20.4,12.2,24.6,97.6
1/16/2019,49,21.9,8.7,33.2,112.8
1/17/2019,34.5,28.7,12.6,20.9,96.7
1/18/2019,21.9,17.5,9,16.1,64.5
1/19/2019,9.9,17.1,11,18.1,56.1
1/20/2019,15.3,25.8,11.7,8.4,61.2
1/21/2019,18.1,24.1,15.1,15.1,72.4
1/22/2019,33.7,22.9,12.2,23.2,92
1/23/2019,40.4,21.6,12.8,25.8,100.6
1/24/2019,36.6,19.6,10.3,28.5,95
1/25/2019,26.4,10.7,8.9,10.8,56.8
1/26/2019,38.3,21,12.4,18.8,90.5
1/27/2019,38.3,17.2,14.4,12.7,82.6
1/28/2019,40.1,12,15.4,26,93.5
1/29/2019,38,12.7,12.4,25.2,88.3
1/30/2019,2.7,7.3,10.1,16.5,36.6
1/31/2019,34.5,28.7,12.6,20.9,96.7
2/1/2019,39.9,17.2,15.4,20.3,92.8
2/2/2019,40.2,18.2,16.6,18.2,93.2
2/3/2019,42.1,17.4,15.3,3.1,77.9
2/4/2019,34.7,21.7,12.8,21.6,90.8
2/5/2019,47.2,23.6,12,30.1,112.9
2/6/2019,40.2,21.5,14.3,32.2,108.2
2/7/2019,39.8,29.6,16.2,36.2,121.8
2/8/2019,35.4,17.2,12.4,21.1,86.1
2/9/2019,51.5,19.8,13.5,18,102.8
2/10/2019,45.6,19.5,14.2,10.3,89.6
2/11/2019,24.3,27,16.8,10.3,78.4
2/12/2019,55.8,28.8,15.6,31.7,131.9
2/13/2019,42.8,19,15.6,23.8,101.2
2/14/2019,49,27.7,16.6,34.5,127.8
2/15/2019,46.9,29.9,16.8,15.4,109
2/16/2019,47.9,26.2,16.6,1.5,92.2
2/17/2019,40.9,27.7,14.6,9.8,93
2/18/2019,43.4,32.9,17.8,30.5,124.6
2/19/2019,44.2,29.1,14.7,21.3,109.3
2/20/2019,41.3,20.9,15.4,24,101.6
2/21/2019,47.5,32.5,18.8,32.2,131
2/22/2019,45.9,27.7,18,22.2,113.8
2/23/2019,40.8,26.3,18.4,14.4,99.9
2/24/2019,31,7.8,14.8,6.8,60.4
2/25/2019,34.2,13.4,12.5,21.6,81.7
2/26/2019,31.8,24.5,13.7,20.2,90.2
2/27/2019,32,7.2,11.1,5.9,56.2
2/28/2019,39.7,19.5,13,1.1,73.3
3/1/2019,32.5,18.4,14.4,3.2,68.5
3/2/2019,37.8,25.9,15,18.7,97.41
3/3/2019,36.1,22.8,15.6,8.5,83
3/4/2019,44.1,30.4,17.4,30,121.9
3/5/2019,35,28.6,18.4,35.9,117.9
3/6/2019,48.1,30,15.8,33,126.9
3/7/2019,40.2,26.2,15.6,32.5,114.5
3/8/2019,41.9,28.8,15.9,27.2,113.8
3/9/2019,43.8,27,16.3,14,101.1
3/10/2019,38.1,25.2,15.4,13.8,92.5
3/11/2019,31,20.9,16.4,20.6,88.9
3/12/2019,41.2,25.8,18.4,19.3,104.7
3/13/2019,49.4,26.8,18.8,31.8,126.8
3/14/2019,45.9,29.1,16.6,29.2,120.8
3/15/2019,41.4,29.6,16.8,2.1,89.9
3/16/2019,36.7,23.4,15.1,18.2,93.4
3/17/2019,46.2,11.5,14.7,5.9,78.3
3/18/2019,49.1,26.9,14.8,27.8,118.6
3/19/2019,45.7,29.2,16.6,29.4,120.9
3/20/2019,31.2,32.8,19.2,29.5,112.7
3/21/2019,48.2,18.4,18.4,15.5,100.5
3/22/2019,42.9,34.5,15.1,25.6,118.1
3/23/2019,45.1,29.5,17.4,24,116
3/24/2019,44.9,25.9,17.3,6.2,94.3
3/25/2019,42.7,20.7,13.4,4.7,81.5
3/26/2019,32.4,27,16.5,31.2,107.1
3/27/2019,45.6,32.7,17.2,21.2,116.7
3/28/2019,42.1,32.5,19.4,30.8,124.8
3/29/2019,51.3,33.5,20,28.5,133.3
3/30/2019,53.8,28.9,20,22.5,125.2
3/31/2019,45.7,26.7,18.2,13.4,104
4/1/2019,31.3,12.2,15.3,14.3,73.1
4/2/2019,44.6,30.8,21.9,35.5,132.8
4/3/2019,45.6,31.1,21,35.9,133.6
4/4/2019,36.6,15.8,18.2,28.9,99.5
4/5/2019,37,32,21.8,13.4,104.2
4/6/2019,38.7,26.8,19.2,17.2,101.9
4/7/2019,46.2,21.5,14.4,4.5,86.6
4/8/2019,45.2,26.7,16.8,30.8,119.5
4/9/2019,40.6,38.2,17.4,32.3,128.5
4/10/2019,48.6,35.2,18.2,33.3,135.3
4/11/2019,26,14.4,17.6,26.5,84.5
4/12/2019,45.4,37.7,17.6,33.4,134.1
4/13/2019,29,8,11.4,10.2,58.6
4/14/2019,37.4,19.5,13.2,5.9,76
4/15/2019,41.9,33.9,15.5,29.3,120.6
4/16/2019,29.9,25.2,12.6,24.8,92.5
4/17/2019,44.8,31.3,17.8,33.7,127.6
4/18/2019,45.7,26.8,16.8,25.3,114.6
4/19/2019,44,27.6,16.3,23.9,111.8
4/20/2019,39.8,29.2,17.2,21.6,107.8
4/21/2019,31.9,30.5,14,6.7,83.1
4/22/2019,40.8,26.4,15,6.9,89.1
4/23/2019,32.4,9.3,12.8,15.2,69.7
4/24/2019,37.5,9.1,14.9,16.3,77.8
4/25/2019,23.2,19.3,13,18.5,74
4/26/2019,14.3,0,4.2,0,18.5
4/27/2019,42.3,14.8,16.8,8.9,82.8
4/28/2019,40.4,29.2,13.8,12.7,96.1
4/29/2019,43.5,32,17.6,19,112.1
4/30/2019,34.8,12.7,13,28.9,89.4
5/1/2019,27.7,36.3,20.5,59.1,143.6
5/2/2019,31.5,39.3,8.9,66.6,146.3
5/3/2019,32.4,38.5,10.6,54.9,136.4
5/4/2019,30.4,0,10.7,66.2,107.3
5/5/2019,32.8,0,26.8,67.7,127.3
5/6/2019,28.7,47.4,12.6,53,141.7
5/7/2019,27,41.1,0,69.2,137.3
5/8/2019,18.9,34.1,0.9,42.7,96.6
5/9/2019,23.1,29.8,0.3,21.1,74.3
5/10/2019,29.2,35.6,13.3,70.3,148.4
5/11/2019,37,37.1,33.2,71.1,178.4
5/12/2019,34.6,37.3,29.4,47.3,148.6
5/13/2019,29.9,32.4,27.5,51.3,141.1
5/14/2019,31,36.6,29.9,68.7,166.2
5/15/2019,29,33,26.1,43.5,131.6
5/16/2019,31.9,30.6,11.7,12.2,86.4
5/17/2019,36.6,39.4,33.6,72.6,182.2
5/18/2019,35.4,28.3,31,65.7,160.4
5/19/2019,15.7,31,14,42.8,103.5
5/20/2019,28,36.2,18.9,21,104.1
5/21/2019,32,30.1,18.9,29.8,110.8
5/22/2019,27.2,34.9,33,65.8,160.9
5/23/2019,31.3,37,30.1,64.6,163
5/24/2019,27.1,30.9,31.4,58.7,148.1
5/25/2019,26.1,37.1,24.3,62,149.5
5/26/2019,31.6,29.9,27.4,53.7,142.6
5/27/2019,30.4,0,23.3,27.5,81.2
5/28/2019,38.6,0,30.2,50.8,119.6
5/29/2019,31.4,17.1,21.1,53.8,123.4
5/30/2019,24.6,23.6,25.5,59.2,132.9
5/31/2019,29.1,32.2,21.9,56.5,139.7
6/1/2019,17.8,17.1,29.9,6,70.8
6/2/2019,27.2,17,33.8,13.1,91.1
6/3/2019,15.9,10.9,31.2,15.9,73.9
6/4/2019,18.6,17.5,21.4,14.2,71.7
6/5/2019,36.2,41.7,57.7,13.2,148.8
6/6/2019,16.2,16.5,30.4,13.2,76.3
6/7/2019,22,16.2,13.4,9.2,60.8
6/8/2019,18,17,39.2,14.4,88.6
6/9/2019,18.6,16.1,36.3,14.2,85.2
6/10/2019,16.8,14.8,27.3,13.1,72
6/11/2019,11.3,14.6,31.9,13.3,71.1
6/12/2019,20.9,21.1,34.2,13.5,89.7
6/13/2019,24.9,24,37.4,13,99.3
6/14/2019,20.8,18.4,32.9,13.1,85.2
6/15/2019,16.8,12.3,26,12.2,67.3
6/16/2019,21,16.6,28.4,12.7,78.7
6/17/2019,18.8,15.3,29.4,13.6,77.1
6/18/2019,20,19.1,32.8,14.4,86.3
6/19/2019,22.4,14.3,29.2,14.4,80.3
6/20/2019,13.9,12.6,26.2,13.1,65.8
6/21/2019,16.1,10.8,27.4,13,67.3
6/22/2019,12.8,13.6,30.6,13.5,70.5
6/23/2019,18.3,15.3,31.5,13.1,78.2
6/24/2019,15.7,17,22.5,12.8,68
6/25/2019,18.4,16.1,30.3,11.8,76.6
6/26/2019,9.3,11,30.9,11,62.2
6/27/2019,13.4,12.1,25.3,9.2,60
6/28/2019,12.9,23.5,22.8,11.2,70.4
6/29/2019,17.5,12.5,26.6,12,68.6
6/30/2019,12.9,13.6,18.6,6.3,51.4
7/1/2019,25.1,24.4,11.3,22.9,83.7
7/2/2019,33.2,25.5,13.1,27,98.8
7/3/2019,38.9,25.5,13.5,30.2,108.1
7/4/2019,28.9,17.1,12.8,27.8,86.6
7/5/2019,33.4,16.2,10,29.8,89.4
7/6/2019,30.4,23.3,12,22.6,88.3
7/7/2019,29.3,26,12,16.4,83.72
7/8/2019,27.7,30.9,12,27.8,98.4
7/9/2019,33.8,27.1,11.3,20.4,92.6
7/10/2019,29.1,29.2,11.5,32.3,102.1
7/11/2019,39.7,15.6,11.1,32,98.4
7/12/2019,32.2,24.9,12,30.5,99.6
7/13/2019,34.8,19,11.2,23.6,88.6
7/14/2019,33.9,22.2,12,20,88.1
7/15/2019,29.7,32.7,11,27.4,100.8
7/16/2019,30.6,24.7,12,26.7,94
7/17/2019,31.7,25.5,12.3,34,103.5
7/18/2019,30.9,26.4,12,32.7,102
7/19/2019,30.5,17.9,11,27.4,86.8
7/20/2019,40.5,22.8,12.3,12.1,87.7
7/21/2019,27.9,22.3,11.9,17.6,79.7
7/22/2019,31.2,27.6,13.6,31.2,103.6
7/23/2019,24.4,24.9,13.2,33.5,96
7/24/2019,23,23.3,11.5,33.4,91.2
7/25/2019,34.8,24.6,12,33,104.4
7/26/2019,32.7,18,11.5,28.9,91.1
7/27/2019,32.3,9.8,12,23.9,78
7/28/2019,32.3,20.2,12,15.9,80.4
7/29/2019,27.5,21.5,11.5,23.3,83.8
7/30/2019,30.4,20.3,10,22.8,83.5
7/31/2019,31.2,23.7,11.5,31,97.4
8/1/2019,32.3,24.7,12.6,24.2,93.8
8/2/2019,31.8,23,13.3,34.8,102.9
8/3/2019,34.4,17.4,11,23.3,86.1
8/4/2019,33.5,12,12,14.2,71.7
8/5/2019,32.9,24.9,13.5,27.5,98.8
8/6/2019,31,25.2,13.1,28.1,97.4
8/7/2019,34.2,28.1,13.6,34.4,110.3
8/8/2019,30.6,18.6,12.8,30.1,92.1
8/9/2019,14.2,25.8,13.5,31.8,85.3
8/10/2019,11.9,20.1,12.9,25.8,70.7
8/11/2019,22.6,21,12.1,18,73.7
8/12/2019,52.5,19.6,12.1,18.6,102.8
8/13/2019,28.8,20.2,15,22.5,86.5
8/14/2019,30.9,26.1,13.6,27.5,98.1
8/15/2019,35.8,25.1,10.6,23.3,94.8
8/16/2019,25,27.1,13.7,23.2,89
8/17/2019,32.8,23.9,13.4,16.9,87
8/18/2019,34,22.8,13.1,14.4,84.3
8/19/2019,32.7,27.8,10,16.3,86.8
8/20/2019,31.8,24.5,13.8,33.3,103.4
8/21/2019,28.6,25.5,13.1,29.3,96.5
8/22/2019,32.2,16.8,13.2,33.5,95.7
8/23/2019,30,25.5,13.7,31.1,100.3
8/24/2019,33,22.3,13.7,24.1,93.1
8/25/2019,30.3,24.1,13,15.4,82.8
8/26/2019,30.3,25.7,13.7,26.3,96
8/27/2019,30.6,27.8,13.6,29.4,101.4
8/28/2019,30.4,25.8,13,28.1,97.3
8/29/2019,32.7,20.5,13,30.8,97
8/30/2019,19.5,18.2,8.6,17.9,64.2
8/31/2019,36.7,23,13.3,22.7,95.7
9/1/2019,30.6,21.8,12.1,12.1,76.6
9/2/2019,28.8,4.8,10.2,17.9,61.7
9/3/2019,31.1,0,13.1,20.9,65.1
9/4/2019,27.7,29.4,13.3,28.7,99.1
9/5/2019,27.6,22.1,13.4,27.1,90.2
9/6/2019,31,29.3,13.7,25.5,99.5
9/7/2019,29,22.2,13.6,19.2,84
9/8/2019,36.6,25.7,12.4,15.8,90.5
9/9/2019,32.9,25.6,13.4,28.9,100.8
9/10/2019,31.8,11.5,13.5,34,90.8
9/11/2019,29.6,23.2,10.5,28,91.3
9/12/2019,31.8,29.4,10.4,29.8,101.4
9/13/2019,32.1,26.1,9.1,30.9,98.2
9/14/2019,25.7,11.8,6,12.4,55.9
9/15/2019,28.2,12,6.6,0,46.8
9/16/2019,32.3,25.4,7.9,0,65.6
9/17/2019,32.8,18.5,10.5,0,61.8
9/18/2019,22.5,22.8,13.2,16.9,75.4
9/19/2019,16.1,23.7,11.5,17.9,69.2
9/20/2019,29.9,27.6,9.9,15.5,82.9
9/21/2019,30.4,20.2,10.7,17.2,78.5
9/22/2019,27.7,13.7,10.7,9.7,61.8
9/23/2019,32.7,20.3,11.8,13.9,78.7
9/24/2019,34.9,31.4,13,27.5,106.8
9/25/2019,36.9,29.3,14.3,26.9,107.4
9/26/2019,34.7,27.2,13.5,25.6,101
9/27/2019,33,30.5,13.6,27,104.1
9/28/2019,32.9,22.6,12.6,20.4,88.5
9/29/2019,29.5,23.5,12.9,14.6,80.5
9/30/2019,30.7,23.3,12.9,23.4,90.3
10/1/2019,31.4,21.2,11.5,12.6,76.7
10/2/2019,33.4,11.4,13.5,31.5,89.8
10/3/2019,36.9,24.1,11.5,29.8,102.3
10/4/2019,30.6,23.6,9.5,27.6,91.3
10/5/2019,27.1,22.4,10.6,24.5,84.6
10/6/2019,28.6,23.6,9.7,12.2,74.1
10/7/2019,26.6,26.7,13.4,29.3,96
10/8/2019,22.5,20.7,11.5,22.7,77.4
10/9/2019,25.6,26.3,12,30.7,94.6
10/10/2019,32,27,12,31.1,102.1
10/11/2019,36.6,14.2,11.5,29.1,91.4
10/12/2019,24.9,19.3,12,0,56.2
10/13/2019,26.9,21.9,13,4.5,66.3
10/14/2019,27.5,29,13.8,17.1,87.4
10/15/2019,32.7,27.1,11.5,7.1,78.4
10/16/2019,31.2,26.6,13.5,15.2,86.5
10/17/2019,32.8,25.2,13.6,0,71.6
10/18/2019,31.7,25,12.8,4.2,73.7
10/19/2019,32.7,22.9,12,17.2,84.8
10/20/2019,6.8,18.8,11,9.5,46.1
10/21/2019,26.4,24.6,12.1,0,63.1
10/22/2019,16.3,26.1,13.1,4.3,59.8
10/23/2019,17.8,24.4,11.5,20.7,74.4
10/24/2019,33.9,25.7,11.3,17.7,88.6
10/25/2019,31.5,27.2,13.5,18.2,90.4
10/26/2019,29.3,25.9,12.8,19.9,87.9
10/27/2019,27.6,15.8,12.7,11.7,67.8
10/28/2019,30.2,14.5,12,19.7,76.4
10/29/2019,33.2,24.2,12,28.5,97.9
10/30/2019,31,24.2,9.4,27.8,92.4
10/31/2019,33.3,30.8,12.5,29.5,106.1
11/1/2019,35,27.8,13.1,24.9,100.8
11/2/2019,31.2,20.9,9.5,17.7,79.3
11/3/2019,34.4,22.9,11,12.4,80.7
11/4/2019,35.4,29.3,13.5,25.9,104.1
11/5/2019,33,30.3,13.4,29.9,106.6
11/6/2019,33.9,29.8,12,26.9,102.6
11/7/2019,30.1,28.3,11.4,20.1,89.9
11/8/2019,34.8,30.1,12.8,20.9,98.6
11/9/2019,25.3,9.9,6.5,0.5,42.2
11/10/2019,33,22.4,11.1,8,74.5
11/11/2019,40.1,26.5,12.5,17.2,96.3
11/12/2019,39.2,25.7,13.8,20.8,99.5
11/13/2019,31.5,30.5,13.9,18.7,94.6
11/14/2019,33.9,24.7,13.2,19,90.8
11/15/2019,36.5,32.5,14,29.2,112.2
11/16/2019,36.4,25.6,15.2,23.5,100.7
11/17/2019,44.5,29,16,17.4,106.9
11/18/2019,39.3,26.9,14.8,27,108
11/19/2019,30.5,34.6,15.6,36.5,117.2
11/20/2019,30.9,32.3,14.7,22.7,100.6
11/21/2019,45.6,20.7,13.7,28.2,108.2
11/22/2019,31.9,21.9,13.9,32,99.7
11/23/2019,38.4,25.4,16,26.9,106.7
11/24/2019,41.3,27.5,15.1,17.8,101.7
11/25/2019,39.4,21.2,16.2,35.1,111.9
11/26/2019,41.5,34.2,17,39.8,132.5
11/27/2019,17.6,30.1,14.6,10.4,72.7
11/28/2019,34.1,32.7,16.8,38.9,122.5
11/29/2019,40.5,35.1,16.8,36.4,128.8
11/30/2019,36.6,24.8,15.3,26.7,103.4
12/1/2019,32.8,23.2,13.8,12.5,82.3
12/2/2019,29,21.6,14,16.8,81.4
12/3/2019,40,16.7,66.1,7.9,130.7
12/4/2019,41,29.2,12.6,30.3,113.1
12/5/2019,34.7,23.4,13.2,23.4,94.7
12/6/2019,34.8,22.9,14.4,29.8,101.9
12/7/2019,33.8,16.6,14.2,30.3,94.9
12/8/2019,35.5,25.1,22.7,17.6,100.9
12/9/2019,41,20.4,16.6,25,103
12/10/2019,43.9,23.7,16.2,36.8,120.6
12/11/2019,29.5,17.6,8.4,21.4,76.9
12/12/2019,11.7,0,2.6,3,17.3
12/13/2019,31.8,11.7,12.6,20.1,76.2
12/14/2019,39.6,29.6,15,26.7,110.9
12/15/2019,34.1,22,13.7,14.6,84.4
12/16/2019,34.5,18.3,15.1,22.5,90.43
12/17/2019,19.9,25.3,12.6,5.4,63.2
12/18/2019,34.9,33.1,15.6,12.8,96.4
12/19/2019,36.4,25.4,27.1,30.9,119.8
12/20/2019,35.1,35.7,84.3,35,190.1
12/21/2019,31.7,16.1,15.2,25.9,88.9
12/22/2019,35.1,27.4,16.1,14.7,93.3
12/23/2019,35,20.5,16.1,27.6,99.2
12/24/2019,45,30.4,65.5,23,163.9
12/25/2019,50.9,24.4,13.8,13.5,102.6
12/26/2019,26.4,26.8,14.8,13.8,81.8
12/27/2019,27.7,32.1,62.7,22.8,145.3
12/28/2019,29.4,27.5,14.4,15.4,86.7
12/29/2019,34.5,22.8,13.6,10.8,81.7
12/30/2019,35,26.8,14.2,14.1,90.1
12/31/2019,41.2,26.6,14.4,19.6,101.8
1/1/2020,43.6,18.2,13,13,87.8
1/2/2020,27.7,12.5,13.3,12.5,66
1/3/2020,30.3,23.5,11.8,8.3,73.9
1/4/2020,30.3,23.6,12,12.3,78.2
1/5/2020,29.3,20.3,10.7,5.9,66.2
1/6/2020,28.2,23.8,12.6,8.1,72.7
1/7/2020,31.9,13.5,13.1,27.5,86
1/8/2020,29.2,15.4,14.6,26.9,86.1
1/9/2020,30.1,32.7,15.4,32,110.2
1/10/2020,35.4,31.8,16.8,25.1,109.1
1/11/2020,36.8,29.2,17.4,22.7,106.1
1/12/2020,35.8,29.1,14.9,15.3,95.1
1/13/2020,29.3,19.5,15.6,28.6,93
1/14/2020,35.7,24,14,23.2,96.9
1/15/2020,30.4,22.7,14.4,32.1,99.6
1/16/2020,21.6,15.2,7.2,16.6,60.6
1/17/2020,28.4,22.6,16.7,18.5,86.2
1/18/2020,39.7,25,13.4,20.4,98.5
1/19/2020,39.2,18.1,14.8,19.4,91.5
1/20/2020,37,20,14.8,22.8,94.6
1/21/2020,35.4,18.6,13.4,13.8,81.2
1/22/2020,36.5,29.9,14.6,28.5,109.5
1/23/2020,40.2,30.7,16.2,27.8,114.9
1/24/2020,38.8,26.4,16.6,27.8,109.6
1/25/2020,29.1,24,22,22.6,97.7
1/26/2020,31.7,19.3,13,16,80
1/27/2020,31.9,18.9,12.2,20.6,83.6
1/28/2020,35.4,28.5,12.6,32.9,109.4
1/29/2020,36.1,24.4,15.9,18.1,94.5
1/30/2020,37,24.8,14.6,26.9,103.3
1/31/2020,37.2,16.5,39.9,26.6,120.2
2/1/2020,38.7,19.9,15.8,20.5,94.9
2/2/2020,33.5,22.8,13,12,81.3
2/3/2020,32.4,26.4,14.2,22.2,95.2
2/4/2020,39.2,32.4,15,33.1,119.7
2/5/2020,29.5,31.3,13.8,24.9,99.5
2/6/2020,31.5,27.5,15.8,10.8,85.6
2/7/2020,41,28.7,13.8,30.4,113.9
2/8/2020,40.4,29.6,14.1,28.8,112.9
2/9/2020,38.8,28.8,13.9,18.8,100.3
2/10/2020,41.7,27.6,14.8,26.1,110.2
2/11/2020,39.3,34.2,16.2,35.2,124.9
2/12/2020,35.7,33,15,36.1,119.8
2/13/2020,38.8,26.6,14.4,30.8,110.6
2/14/2020,38.8,27.6,14.1,29.7,110.2
2/15/2020,41.2,21.6,14.8,21.1,98.7
2/16/2020,39.6,26,14.7,9.4,89.7
2/17/2020,34.6,33.3,16,18.4,102.3
2/18/2020,40.2,38.2,18.6,31.8,128.8
2/19/2020,38.5,29.3,18.6,27.1,113.5
2/20/2020,27.6,20.9,15.6,22.5,86.6
2/21/2020,40.2,26,18.2,15.5,99.9
2/22/2020,39,22.7,16.4,5.4,83.5
2/23/2020,40.4,21.6,16.6,18.9,97.5
2/24/2020,39.3,35.5,23.7,32.7,131.2
2/25/2020,46.5,31.9,21.2,31.3,130.9
2/26/2020,45.9,29.2,19.2,16.8,111.1
2/27/2020,44.7,37.1,20.2,31.5,133.5
2/28/2020,41.1,33.2,13.4,24.9,112.6
2/29/2020,39.9,31,18.4,22.5,111.8
3/1/2020,43.3,20.8,18.6,19.6,102.3
3/2/2020,40.7,8.1,19.4,13.9,82.1
3/3/2020,26.7,21.2,14.8,16.9,79.6
3/4/2020,37.9,21.1,17.8,33.3,110.1
3/5/2020,46.4,17.5,16.4,18.4,98.7
3/6/2020,24.8,14,16.4,19.2,74.4
3/7/2020,24.3,24.2,16,8,72.5
3/8/2020,40,22.4,16.6,6.1,85.1
3/9/2020,33.2,27.2,17,23.6,101
3/10/2020,45.3,21.4,16.6,11.1,94.4
3/11/2020,42.1,34.9,15.8,22.3,115.1
3/12/2020,36.4,31.8,15.6,33.9,117.7
3/13/2020,32.8,26.9,15,26.1,100.8
3/14/2020,32.8,9.3,16.2,10.1,68.4
3/15/2020,38.2,26.3,16.4,13.8,94.7
3/16/2020,40.7,32.6,16.8,24.7,114.8
3/17/2020,44.2,24.3,17.4,30.4,116.3
3/18/2020,44.6,31.6,23.6,34.8,134.6
3/19/2020,42.9,26.6,15.8,27.7,113
3/20/2020,32.2,29,18,29.6,108.8
3/21/2020,9.1,32.1,17.4,1.1,59.7
3/22/2020,42.1,28.1,17.6,0,87.8
3/23/2020,36.9,28,15.4,12.5,92.8
3/24/2020,22.7,18.1,6.2,11.3,58.3
3/25/2020,37.6,21.5,13.2,23.5,95.8
3/26/2020,40,27,14.7,18,99.7
3/27/2020,41.9,26.8,13.3,20.5,102.5
3/28/2020,37.4,22,12.5,5.9,77.8
3/29/2020,41.5,25.6,14.7,8.1,89.9
3/30/2020,36.5,18,15,14.8,84.3
3/31/2020,37.5,29.7,16.6,12.1,95.9
4/1/2020,29.3,25.1,13.8,6,74.2
4/2/2020,36.4,20,13.5,10.3,80.2
4/3/2020,42.5,29,14,19,104.5
4/4/2020,32.5,21.9,11.9,11.5,77.8
4/5/2020,37.3,26.7,13.8,10.6,88.4
4/6/2020,48.7,24.5,13.1,11.5,97.8
4/7/2020,46.5,26.2,13.3,18,104
4/8/2020,51.4,25,14.5,16,106.9
4/9/2020,51.2,28.2,15,9.2,103.6
4/10/2020,48.4,25.1,13.2,11.8,98.5
4/11/2020,52.4,26,13.8,10.6,102.8
